customer_unique_id,payment_type,total_payment_installments,total_payment_value,geolocation_lat,geolocation_lng,total_payment_sequential
00053a61a98854899e70ed204dd4bafe,credit_card,3.0,419.18,-25.4313,-49.2792,1.0
0005ef4cd20d2893f0d9fbd94d3c0d97,credit_card,4.0,129.76,-2.5453,-44.235,1.0
00115fc7123b5310cf6d3a3aa932699e,credit_card,1.0,76.11,-15.8232,-47.9871,1.0
0019e8c501c85848ac0966d45226fa1d,credit_card,2.0,197.27,-15.6087,-56.0863,1.0
003c2067070f5b3d923235b1ea1cc17b,boleto,1.0,147.38,-6.5833,-40.1389,1.0
003fee4ca17927283128c7ddc6f9311b,boleto,1.0,103.47,-22.2848,-42.5317,1.0
004b9b1634b7becda8eec4e96bced882,boleto,1.0,158.74,-23.6295,-46.5241,1.0
005ee3e015ec18092d7782e507cf68fe,credit_card,4.0,187.96,-10.021,-67.8017,1.0
0066b328e72fd82fd7420bf849c0e8b4,boleto,1.0,94.35,-23.5364,-46.796,1.0
00704e915ae0d4a236eace0267454cf9,boleto,1.0,123.39,-19.8629,-43.8607,1.0
0079b50e9f77c1148b472818f92eaebc,credit_card,4.0,41.69,-22.4555,-43.4701,1.0
007a2fab7046647dad04fe7d08c57820,boleto,1.0,126.48,-22.8829,-43.3642,1.0
0085139b503668b3addcfe826d91be8d,credit_card,5.0,504.47,-20.2465,-50.6435,1.0
00970787f181925ba33bd32b3817f742,credit_card,2.0,35.4,-22.9377,-43.2489,1.0
00a6ee75a90222405df9d8d59babc513,boleto,1.0,60.05,-3.5437,-45.6088,1.0
00a7d14cb10e11b7f7d65120a7e3942f,credit_card,1.0,64.42,-23.4937,-46.6662,1.0
00b2ca23369b68c4d4105ecea9c0cb93,credit_card,1.0,103.27,-5.5197,-38.2674,1.0
00d447911e5d5ae87480df8734b915f2,boleto,1.0,280.65,-22.8786,-43.0861,1.0
010a0365ab237a5e2fed9d945121b627,boleto,1.0,73.47,-3.0723,-60.0817,1.0
010d09c16c5fee11226ca7c5492892de,credit_card,10.0,220.54,-3.1035,-59.9888,1.0
0116f610fa1418cda75e0d96e1639a03,boleto,1.0,33.68,-23.9675,-46.3865,1.0
0117fb2675e2936a2e96dee22e8c992b,credit_card,4.0,98.09,-21.7792,-43.3485,3.0
011b4adcd54683b480c4d841250a987f,credit_card,8.0,86.42,-12.5509,-38.7065,1.0
012216caf4f1082ba3fc02e584de9a29,credit_card,3.0,77.35,-23.6516,-46.6027,1.0
0125200158c999d5813b11be482a48da,boleto,1.0,96.47,-21.0182,-46.7432,1.0
012b8001e47392df808a454083a74b74,credit_card,1.0,98.84,-16.5434,-43.7463,1.0
012da9594b65ccb990822802ba0ff2e4,credit_card,8.0,82.23,-22.5077,-41.9249,1.0
01376b24e146a15f52ca8382af02fe62,credit_card,1.0,90.88,-22.464,-44.4489,1.0
013f4353d26bb05dc6652f1269458d8d,credit_card,3.0,178.195,-12.235,-38.9382,1.0
01512524d623f78040531c0d8e20a772,credit_card,1.0,89.17,-25.47,-49.3074,1.0
0152897024d0ddad70baafe17ed705f4,credit_card,5.0,96.87,-23.5843,-46.6784,1.0
0161783a9f93dcefde5ea508501713b2,credit_card,1.0,47.69,-22.527,-44.1275,1.0
0161ede24e46b8e50ed493e5f8b3b305,boleto,1.0,85.14,-16.3266,-48.9416,1.0
01769144da2a7ea21cc6163452b5824d,credit_card,6.0,68.13,-27.5736,-50.1559,1.0
0177f6975b155c814ea6273eccc58d82,credit_card,8.0,230.86,-23.5446,-46.5168,1.0
0178fa4e501691dec0663f439950d4de,credit_card,1.0,37.9,-23.4926,-46.4927,1.0
017c4e59e1a95482f32f65e03a46af95,credit_card,8.0,82.92,-23.8184,-46.0806,1.0
0187e88f4c9b2e4c92e5d47ffa0e1da9,credit_card,1.0,81.79,-19.4993,-42.5472,1.0
0189137aa093295df2116467b8201d66,boleto,1.0,51.0,-21.7189,-43.0651,1.0
018ca9b2c9f793a0e43e75d6a3eca86a,credit_card,3.0,113.8,-20.3713,-40.3072,1.0
018e2017f47d05d438effa6d15061c2d,voucher,1.0,46.78,-13.0021,-38.463,1.0
019ac5580a897d52e5ed6f7ed89ade27,boleto,1.0,1337.19,-22.8221,-47.2703,1.0
019ea19e666644625032de5efe2ceb71,credit_card,3.0,109.42,-22.8166,-43.4163,1.0
01ab4b660bfe57375e0486a07bbe31eb,credit_card,1.0,90.99,-23.489,-47.4488,1.0
01b42ac9d3801e6edf67f7a95f04a838,credit_card,1.0,66.67,-23.5023,-46.4524,1.0
01b531d9fa14ce8894156d72f7ee8b92,credit_card,2.0,118.85,-23.6237,-46.8004,1.0
01e4cddc3a56ea6684510cf09f4d0411,credit_card,1.0,38.9,-21.1238,-48.9513,1.0
01f2285f85a1c603eb7ef755ad311769,credit_card,6.5,231.51999999999998,-19.4688,-42.5639,1.0
020747bd836e23bc8e3692937ad85497,credit_card,5.0,50.31,-22.2437,-43.0985,1.0
021109bdb16fa17c2463cab87da314f3,credit_card,2.0,159.7,-22.8921,-47.0546,1.0
02198c63d3e65ea299d6d8d3c7a11665,boleto,1.0,21.59,-23.447,-46.4267,1.0
021a4369c52a67fdaa1a923dada92cf2,credit_card,2.0,23.6,-22.9799,-46.9954,1.0
021f9b70becbc032905f24f7e6c2d7d7,credit_card,5.0,131.04,-22.5219,-44.192,1.0
0220cae7a876f841ad3924e84b29861a,credit_card,1.0,75.17,-20.0383,-44.1389,1.0
0221e219e9875443d81e933d3d6f8c80,boleto,1.0,78.0,-12.9926,-38.454,1.0
022657d659cf88bcc8c22774f3f0b61a,credit_card,7.0,73.61,-23.5263,-46.8457,1.0
023626329895d11d199a1bf57dcbc546,boleto,1.0,118.62,-25.4046,-49.3455,1.0
023a5f2429a60d00c9c26887b95c6c80,credit_card,1.0,23.78,-23.6964,-46.4558,1.0
023a67e0df63273fa1f49cd71fd3eb61,credit_card,2.0,187.06,-8.0915,-34.913,1.0
023de84681c997f7bcb218b8e23df233,credit_card,1.0,146.96,-27.5899,-48.5512,1.0
0242e42b2210c764b47e099ddeacd742,credit_card,6.0,146.9,-10.9658,-37.0902,1.0
024e448ec8650b88a45e9f6049eec02b,credit_card,1.0,43.29,-23.6465,-46.6662,1.0
0255bf539e958e6f426caa5a0cf79aeb,credit_card,2.0,44.0,-15.83,-47.9805,1.0
02678f5b6207663512dd9cd96af14f0d,boleto,1.0,473.83,-22.6749,-43.2762,1.0
02712c43bfdb769882911ec01879f2b6,boleto,1.0,44.32,-22.7635,-52.9883,1.0
027975035267b4ec8c9d8ad65c6c4d6f,boleto,1.0,104.37,-25.3826,-49.1688,1.0
028df9d72fe22595a5da837157f1258b,credit_card,3.0,128.87,-17.3646,-44.9846,1.0
02aff8daa5b3527989a29500ff1e8e10,credit_card,5.0,405.03,-23.6215,-46.5751,1.0
02b3eb3619fdcba4c5a8e5d9ad6c97f2,credit_card,2.0,117.13,-12.9295,-38.3742,1.0
02baf2ab49104d32faca025ace4fc9fa,credit_card,3.0,146.96,-20.345,-40.2879,1.0
02bc079a58dfe937bdc5d97c8bac00ac,credit_card,2.0,75.11,-23.5543,-46.8414,1.0
02c39145f71fdb20ece3f92148868a06,boleto,1.0,221.39,-12.886,-38.4129,1.0
02d50470ba933abc280ae8815ae03d74,credit_card,4.0,90.7,-16.4002,-39.2627,1.0
02d5f0b469260397c2d2582db813c2d0,credit_card,2.0,68.02,-15.4538,-47.5998,1.0
02dd4969c23207b44ef9252dd7ef59f8,credit_card,10.0,321.38,-22.365,-46.9244,1.0
02deaccb3c4b572f6d4fb48bcd4bbec5,credit_card,1.0,81.89,-22.8338,-43.2489,1.0
02e6a8a86c74efabd650f01e0c460a1d,voucher,2.0,55.269999999999996,-23.5438,-46.6585,3.0
02e7d568f699b57b0bbb98cef89e0832,credit_card,1.0,101.55,-23.5632,-46.6982,1.0
02efca104f44478ca3578605b0106a40,credit_card,4.0,185.69,-22.5991,-48.7875,1.0
02f2e78d709aac71f0b74f2b2bf30984,credit_card,2.0,161.05,-25.3929,-49.2787,1.0
02f3f4574ac77170d5846d6a1a3be5e8,credit_card,3.0,285.7,-12.9889,-38.4881,1.0
02f497cc7dfdd937def02d2359f93f8e,credit_card,1.0,127.53,-17.3408,-44.9335,1.0
0300e705496bf8c32c5dfd4a476885ba,credit_card,7.0,72.94,-12.2249,-38.9496,1.0
0308e864e3f6e3e891cf40ec378905b7,boleto,1.0,54.0,-22.8684,-43.4692,1.0
0311deb2e956cb6966ec4773130ba658,credit_card,1.0,51.54,-23.5715,-46.648,1.0
0319cd43072df023584a1fa0a94d45ce,credit_card,1.0,285.59,-23.5542,-46.1844,1.0
032221fa9b8b46b7126d09ea2c5f6d89,credit_card,4.0,116.8,-29.2361,-51.8752,1.0
0326524848da9311350236471586bd61,boleto,1.0,1826.07,-22.3348,-49.0755,1.0
032cfb33364e07ebcafb4b8a92d7eec4,boleto,1.0,86.02,-24.0144,-46.4384,1.0
035067251b3612bbcc30e7570e335ce7,boleto,1.0,116.96,-23.5787,-46.5647,1.0
03510c466e751a76af44c1a848290c8b,credit_card,1.0,72.45,-23.5028,-47.4305,1.0
035df089079c12357e9de09e7e608177,credit_card,2.0,112.05,-13.3672,-39.072,3.0
036758198b848af7b0e0211d9323a081,credit_card,3.0,90.73,-19.9271,-43.945,1.0
036f8cd754a698392317e590a386cbbb,boleto,1.0,96.26,-21.7573,-43.3541,1.0
038301b43811478e1a8dc0e476eaf52e,boleto,1.0,336.24,-23.5462,-46.7536,1.0
0384a3228ed57a731fc7eeae852a1a06,boleto,1.0,69.03,-25.4338,-49.2978,1.0
038788260f49eafe86a7e02b7704e0be,credit_card,1.0,50.51,-5.5045,-45.2467,1.0
038d1731366a6246ca8e74ce585d3d6f,boleto,1.0,128.09,-2.6895,-47.6351,1.0
039024d7c7249fe937d2e306af33e446,credit_card,2.0,102.84,-1.3801,-48.4156,1.0
03995411f78a2383cdc47c966be72c4c,credit_card,1.0,146.96,-25.449,-49.2886,1.0
03a7a36e23016fe4e8d04f751b51937a,credit_card,3.0,354.08,-22.9844,-43.1934,1.0
03ab3ea477718b0b0718b8fb857b2479,credit_card,10.0,178.41,-24.3166,-47.6347,1.0
03ae6082ed4070c3088f3e8123f94edc,credit_card,1.0,64.52,-20.375,-43.4181,1.0
03d7bb9d95f70cf9dcef7142f89d8ec5,credit_card,2.0,75.07,-29.18,-51.1897,1.0
03da36f44c98d62dfa4dfdbbc8fd6ade,boleto,1.0,82.12,-12.8741,-38.7605,1.0
03dccfec4bfcd02164924153764e1b76,credit_card,3.0,68.45,-19.8805,-43.9034,1.0
03e8a26864627ee0c7fb470b46cbaee7,credit_card,1.0,65.54,-22.8878,-47.0383,1.0
03ec08f1dfebcf9f6f68a74d58ba405c,boleto,1.0,184.92,-22.4742,-43.8304,1.0
03ede110a49c83121893d499aa0ecd85,boleto,1.0,106.38,-22.2457,-54.8094,1.0
03effb562752f2d9b2d0edde00f45874,credit_card,1.0,58.3,-22.9492,-43.1902,1.0
03f19e532a8b6cdbc7c56ec70516ad0a,credit_card,2.0,77.99,-25.8131,-48.5363,1.0
03f2463d48505388248d4dc0186d37dd,credit_card,2.0,105.38,-12.8835,-38.2979,1.0
03f26315a01aba2f3e054a91bdb5bd22,boleto,1.0,41.6,-27.1721,-51.509,1.0
03f6276b1f106564cc6858f00af7888d,credit_card,7.0,181.77,-19.8511,-43.8858,1.0
0400cd54f629df117d18b4104f4d125a,boleto,1.0,114.9,-19.5266,-40.6624,1.0
040641ad9a73250e1362678a81db1b9b,boleto,1.0,53.01,-19.9319,-43.9326,1.0
040a675b82518d9f4eb2f27f18c1802e,credit_card,1.0,129.09,-23.9434,-46.1979,1.0
040dc1ab0fe089423e1d53a50be09a28,credit_card,2.0,249.02,-15.8156,-47.9869,1.0
041ecd93f392ac99f53809f2fc47c7fb,credit_card,9.0,189.42,-8.0352,-50.0396,1.0
042b64d198526eb845fde8a99e87ede1,credit_card,10.0,120.49,-15.7924,-48.1241,1.0
043ed8f32fb896008b1f56c248fe032a,credit_card,3.0,241.81,-23.6689,-46.5265,1.0
045188ef7ed5f34c7c96d78b630dba29,credit_card,1.0,70.14,-21.3759,-42.3157,1.0
046afa6d8a4e9f3054b35cca5ba947bd,credit_card,2.0,51.2,-23.5546,-46.9234,1.0
047087496466767512a076091ea74126,credit_card,1.0,82.08,-23.519,-47.4853,1.0
0470b939e53cb37a6c925afb999d9cf3,credit_card,3.0,116.12,-9.9483,-54.9013,1.0
047beaa56db85753ce02a5483b06df0a,credit_card,1.0,116.57,-19.8709,-43.9126,1.0
047ce3fc5ad200ea8cebe5841e618d05,credit_card,4.0,69.05,-29.7622,-57.079,1.0
0484f4053df3702347e3b260d0eccf39,credit_card,8.0,193.38,-15.715,-47.8858,1.0
048926190c0fda585ea55293b1408eb3,credit_card,3.0,39.69,-30.0737,-51.0931,1.0
048ab30c4a03d841d35eb47f8f476d21,credit_card,3.0,65.22,-19.5466,-42.1127,1.0
048acfefbc674ab228e0de136c787eb0,credit_card,3.0,33.38,-19.9115,-44.0429,1.0
048ddfe7d85bd770b6dd93ce899424c8,boleto,1.0,83.41,-21.2034,-41.8935,1.0
0496872f2cc771196cb59a38558b3774,credit_card,4.0,196.67,-19.9255,-44.0857,1.0
04a1a465d6b1d13bb7166474c639403f,credit_card,4.0,220.89,-22.9168,-43.5623,1.0
04a5bea78392f0d2da9fb2d6848428db,credit_card,1.0,64.0,-19.9692,-43.9674,1.0
04b4f3b816ff05fcc63b8a88e1f65b63,credit_card,3.0,126.81,-23.4971,-46.8511,1.0
04b82d7b6bea9cde35c9934ea1949c34,credit_card,1.0,62.58,-23.6401,-46.5162,1.0
04baa28903e22974e6213e632b09c193,credit_card,5.0,59.82,-23.5299,-46.6553,1.0
04ceb0b6de581dfcd6d0e61442550117,boleto,1.0,150.04,-23.6496,-46.6607,1.0
04e1b4465899f282fe44bc0daca32f81,credit_card,4.0,213.76,-15.7942,-47.8481,1.0
04e6136a14d4d23d0b5d79443b94225b,boleto,1.0,141.48,-23.5136,-46.1897,1.0
04ec69b79016471f4fbca1f9c00ce65b,boleto,1.0,67.53,-28.939,-49.4672,1.0
04f7df7bc1e973191b15f67fb1648d34,boleto,1.0,115.15,-23.1164,-47.2378,1.0
04fc01b32cbbe95dfaa553bd9cdcde78,credit_card,2.0,118.13,-23.1795,-47.3134,1.0
04fef02b944a43b65db43c0f8c971253,boleto,1.0,118.66,-25.5135,-54.5349,1.0
